Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = ONCEANDFORALL
Selected environment = Puzzle
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
..............................Model Checking complete. No error nodes found.Total states: 181442

End of exploration 181441 | Exploration time: 14.784374045 seconds
Start learning (Prioritized Value Iteration)
Update 43900 | last delta: 30.845605184235023
Update 44000 | last delta: 30.83154974178948
Update 44100 | last delta: 30.817606737895062
Update 44200 | last delta: 30.801701705974903
Update 44300 | last delta: 30.79148383611189
Update 44400 | last delta: 30.780510069093317
Update 44500 | last delta: 30.766974855571387
Update 44600 | last delta: 30.753466234056663
Update 44700 | last delta: 30.741901685528518
Update 44800 | last delta: 30.72845362539032
Update 44900 | last delta: 30.719454220035782
Update 45000 | last delta: 30.708064597936243
Update 45100 | last delta: 30.69541360353445
Update 45200 | last delta: 31.17448178073295
Update 45300 | last delta: 30.668612378117984
Update 45400 | last delta: 30.65592179400982
Update 45500 | last delta: 30.641673277225575
Update 45600 | last delta: 30.62688043154654
Update 45700 | last delta: 30.61601337731526
Update 45800 | last delta: 30.60372867512794
Update 45900 | last delta: 30.591869864566178
Update 46000 | last delta: 30.57579245426813
Update 46100 | last delta: 30.559884940901885
Update 46200 | last delta: 30.54756478053388
Update 46300 | last delta: 30.531735014546083
Update 46400 | last delta: 30.515568773196186
Update 46500 | last delta: 30.499914897626592
Update 46600 | last delta: 30.485385970496115
Update 46700 | last delta: 30.4737692236947
Update 46800 | last delta: 30.46353936316569
Update 46900 | last delta: 30.448639646233083
Update 47000 | last delta: 30.435639522602756
Update 47100 | last delta: 30.424730965918457
Update 47200 | last delta: 30.407970933919852
Update 47300 | last delta: 30.39479200031306
Update 47400 | last delta: 30.3822020808994
Update 47500 | last delta: 30.369788699208023
Update 47600 | last delta: 30.35283448669083
Update 47700 | last delta: 30.33742655072746
Update 47800 | last delta: 30.324172468065697
Update 47900 | last delta: 30.31367627033673
Update 48000 | last delta: 30.298516190520143
Update 48100 | last delta: 30.2815267381588
Update 48200 | last delta: 30.267385912593717
Update 48300 | last delta: 30.256694144906383
Update 48400 | last delta: 30.240991493081467
Update 48500 | last delta: 30.23088577643466
Update 48600 | last delta: 30.21799606174727
Update 48700 | last delta: 30.206791195900358
Update 48800 | last delta: 30.197124119167665
Update 48900 | last delta: 30.187883293594467
Update 49000 | last delta: 30.174493427352765
Update 49100 | last delta: 30.15939401360907
Update 49200 | last delta: 30.152546945951663
Update 49300 | last delta: 30.14168582440327
Update 49400 | last delta: 30.131498863604637
Update 49500 | last delta: 30.118455769775363
Update 49600 | last delta: 30.10578560319753
Update 49700 | last delta: 30.09610372676105
Update 49800 | last delta: 30.086425840907506
Update 49900 | last delta: 31.017220223609073
Update 50000 | last delta: 30.06174314895346
Update 50100 | last delta: 30.04967706709341
Update 50200 | last delta: 30.039997819320632
Update 50300 | last delta: 30.02277700421942
Update 50400 | last delta: 30.011910290649304
Update 50500 | last delta: 29.99910493113508
Update 50600 | last delta: 29.983183948932293
Update 50700 | last delta: 29.97134066085402
Update 50800 | last delta: 29.960089424581803
Update 50900 | last delta: 29.947171719608313
Update 51000 | last delta: 29.934259445357757
Update 51100 | last delta: 29.921158437845573
Update 51200 | last delta: 29.912253078516436
Update 51300 | last delta: 29.897462870548196
Update 51400 | last delta: 29.884934432498447
Update 51500 | last delta: 29.876814614114398
Update 51600 | last delta: 29.867392268231487
Update 51700 | last delta: 29.857536992882736
Update 51800 | last delta: 29.847784263592306
Update 51900 | last delta: 29.833933837640007
Update 52000 | last delta: 29.82306415271759
Update 52100 | last delta: 29.808098484700885
Update 52200 | last delta: 29.798488397475708
Update 52300 | last delta: 29.790817760409578
Update 52400 | last delta: 29.77780480420321
Update 52500 | last delta: 29.76577539078805
Update 52600 | last delta: 29.755872927135684
Update 52700 | last delta: 29.741901685528518
Update 52800 | last delta: 29.729724648657914
Update 52900 | last delta: 29.72366263501551
Update 53000 | last delta: 29.71055058547362
Update 53100 | last delta: 29.70149972381495
Update 53200 | last delta: 29.68786438777657
Update 53300 | last delta: 29.674553544985933
Update 53400 | last delta: 29.664137437257466
Update 53500 | last delta: 32.82730178077708
Update 53600 | last delta: 29.649970486174716
Update 53700 | last delta: 29.639574695825303
Update 53800 | last delta: 29.629468727011197
Update 53900 | last delta: 29.618651531041376
Update 54000 | last delta: 31.392530643105168
Update 54100 | last delta: 29.60227083924876
Update 54200 | last delta: 29.58745008965459
Update 54300 | last delta: 29.574583338248765
Update 54400 | last delta: 29.564430291218162
Update 54500 | last delta: 29.548607392555517
Update 54600 | last delta: 29.837191203332292
Update 54700 | last delta: 29.518499324558952
Update 54800 | last delta: 29.508056832151798
Update 54900 | last delta: 29.497285915684095
Update 55000 | last delta: 29.484867859473084
Update 55100 | last delta: 29.472719067752795
Update 55200 | last delta: 29.46103411374574
Update 55300 | last delta: 29.453439725343436
Update 55400 | last delta: 29.441946250238328
Update 55500 | last delta: 29.42903733421924
Update 55600 | last delta: 29.41514616415531
Update 55700 | last delta: 29.403693675936754
Update 55800 | last delta: 29.974263677522917
Update 55900 | last delta: 29.581005542999844
Update 56000 | last delta: 29.37521530895515
Update 56100 | last delta: 29.364791422705412
Update 56200 | last delta: 29.352857311491423
Update 56300 | last delta: 29.342372604440893
Update 56400 | last delta: 29.327282711879914
Update 56500 | last delta: 29.31915002897591
Update 56600 | last delta: 29.312286141354363
Update 56700 | last delta: 29.303236494569347
Update 56800 | last delta: 29.285486930236193
Update 56900 | last delta: 29.274167362210164
