Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = RECURSIVE
Start exploration

End of exploration 2830 | Exploration time: 1.69909295 seconds
Start learning (Prioritized Value Iteration)
Update 35700 | last delta: 3.078676250955141
Update 35800 | last delta: 3.0579026703344425
Update 35900 | last delta: 3.0106697980436365
Update 36000 | last delta: 2.914401415589964
Update 36100 | last delta: 2.7578320235352294
Update 36200 | last delta: 2.7096028182395457
Update 36300 | last delta: 2.672537978202854
Update 36400 | last delta: 2.4937277632736823
Update 36500 | last delta: 2.4769011629705346
Update 36600 | last delta: 2.4386425364155
Update 36700 | last delta: 2.36066514662798
Update 36800 | last delta: 2.2338439390618987
Update 36900 | last delta: 2.1947782827737683
Update 37000 | last delta: 2.164755762344157
Update 37100 | last delta: 2.010459545158028
Update 37200 | last delta: 0.1343683597224299
Update 37300 | last delta: 1.975300454495482
Update 37400 | last delta: 1.187156256819435
Update 37500 | last delta: 1.7777704090476618
Update 37600 | last delta: 1.7777704090458428
Update 37700 | last delta: 0.1343683597224299
Update 37800 | last delta: 1.5999933681432594
Update 37900 | last delta: 1.599993368140531
Update 38000 | last delta: 1.465625008419238
Update 38100 | last delta: 1.4399940313287516
Update 38200 | last delta: 1.4202962556737475
Update 38300 | last delta: 1.3190625075776552
Update 38400 | last delta: 1.2959946281953307
Update 38500 | last delta: 1.2959946281944212
Update 38600 | last delta: 1.254554246188036
Update 38700 | last delta: 1.1663951653763434
Update 38800 | last delta: 1.1663951653754339
Update 38900 | last delta: 1.1504399670957355
Update 39000 | last delta: 1.1134858391499165
Update 39100 | last delta: 1.0497556488389819
Update 39200 | last delta: 1.0497556488380724
Update 39300 | last delta: 1.035395970386162
Update 39400 | last delta: 1.0161889394130412
Update 39500 | last delta: 0.9447800839552656
Update 39600 | last delta: 0.9447800839552656
Update 39700 | last delta: 0.9318563733495466
Update 39800 | last delta: 0.914570045475557
Update 39900 | last delta: 0.5578831917737261
Update 40000 | last delta: 0.850302075559739
Update 40100 | last delta: 0.8503020755588295
Update 40200 | last delta: 0.8386707360114087
Update 40300 | last delta: 0.823113040924909
Update 40400 | last delta: 0.7652718680037651
Update 40500 | last delta: 0.7652718680037651
Update 40600 | last delta: 0.7548036624120869
Update 40700 | last delta: 0.7408017368352375
Update 40800 | last delta: 0.042166215060206014
Update 40900 | last delta: 0.6887446812033886
Update 41000 | last delta: 0.6887446812015696
Update 41100 | last delta: 0.486040019536631
Update 41200 | last delta: 0.6667215631487124
Update 41300 | last delta: 0.6198702130823222
Update 41400 | last delta: 0.6113909665546089
Update 41500 | last delta: 0.6000494068375701
Update 41600 | last delta: 0.6000494068339322
Update 41700 | last delta: 0.5578831917737261
Update 41800 | last delta: 0.5502518698976928
Update 41900 | last delta: 0.5400444661518122
Update 42000 | last delta: 0.5167791903140824
Update 42100 | last delta: 0.5020948725959897
