Selected algorithm = PRIORITIZED_VALUE_ITERATION
Selected reward strategy = EMBEDDED
Selected environment = autoV2embedded
Load classical B Machine
Load success
Exploration strategy = PREPROCESS
Start exploration
.Model Checking complete. No error nodes found.Total states: 2831

End of exploration 2830 | Exploration time: 0.424768353 seconds
Start learning (Prioritized Value Iteration)
Update 29800 | last delta: 18.15398314859158
Update 29900 | last delta: 17.039871642971775
Update 30000 | last delta: 16.482624035003028
Update 30100 | last delta: 16.338584833732057
Update 30200 | last delta: 15.335884478675325
Update 30300 | last delta: 14.83436163150327
Update 30400 | last delta: 14.704726350359124
Update 30500 | last delta: 15.335884478668959
Update 30600 | last delta: 13.802296030807156
Update 30700 | last delta: 13.350925468354035
Update 30800 | last delta: 13.234253715323575
Update 30900 | last delta: 15.335884478672597
Update 31000 | last delta: 12.422066427726804
Update 31100 | last delta: 12.422066427721802
Update 31200 | last delta: 11.910828343790854
Update 31300 | last delta: 11.180534119265758
Update 31400 | last delta: 11.179859784950168
Update 31500 | last delta: 10.814249629365804
Update 31600 | last delta: 18.933190714411467
Update 31700 | last delta: 12.422066427727259
Update 31800 | last delta: 10.061873806458607
Update 31900 | last delta: 10.04100593034309
Update 32000 | last delta: 1.562213792332841
Update 32100 | last delta: 9.055686425811473
Update 32200 | last delta: 10.061873806454969
Update 32300 | last delta: 8.682993862623334
Update 32400 | last delta: 8.150117783231394
Update 32500 | last delta: 8.150117783225141
Update 32600 | last delta: 7.814694476361183
Update 32700 | last delta: 7.335106004908994
Update 32800 | last delta: 7.335106004904901
Update 32900 | last delta: 7.31205687392503
Update 33000 | last delta: 6.632658310902116
Update 33100 | last delta: 6.601595404416003
Update 33200 | last delta: 6.5879039908977575
Update 33300 | last delta: 6.329902525852958
Update 33400 | last delta: 5.941435863974675
Update 33500 | last delta: 5.941435863971492
Update 33600 | last delta: 5.696912273268026
Update 33700 | last delta: 5.347292277579072
Update 33800 | last delta: 5.347292277575434
Update 33900 | last delta: 5.336202232627329
Update 34000 | last delta: 0.6052336313478008
Update 34100 | last delta: 4.812563049819346
Update 34200 | last delta: 4.812563049815253
Update 34300 | last delta: 4.797440514981645
Update 34400 | last delta: 4.866687813256249
Update 34500 | last delta: 4.3313067448380025
Update 34600 | last delta: 4.331306744835274
Update 34700 | last delta: 4.322323808426518
Update 34800 | last delta: 5.4074309036204795
Update 34900 | last delta: 3.9165184060066167
Update 35000 | last delta: 3.898176070352747
Update 35100 | last delta: 3.890091427585503
Update 35200 | last delta: 3.7075372193239673
Update 35300 | last delta: 3.5083584633212013
Update 35400 | last delta: 3.5083584633175633
Update 35500 | last delta: 3.5010822848271346
Update 35600 | last delta: 3.3367834973914796
Update 35700 | last delta: 3.1575226169879897
Update 35800 | last delta: 3.157522616985034
Update 35900 | last delta: 3.150974056344239
Update 36000 | last delta: 3.0031051476507855
Update 36100 | last delta: 2.8417703552877356
Update 36200 | last delta: 2.8358766507108157
Update 36300 | last delta: 2.7920732291777313
Update 36400 | last delta: 2.557593319760599
Update 36500 | last delta: 2.5575933197578706
Update 36600 | last delta: 2.55228898563837
Update 36700 | last delta: 2.512865906258412
Update 36800 | last delta: 2.3018339877835388
Update 36900 | last delta: 2.3018339877817198
Update 37000 | last delta: 2.2970600870739872
Update 37100 | last delta: 2.68004484051653
Update 37200 | last delta: 2.094949524911499
Update 37300 | last delta: 2.071650589005003
Update 37400 | last delta: 2.0673540783682256
Update 37500 | last delta: 2.0354213840710145
Update 37600 | last delta: 1.8854545724225318
Update 37700 | last delta: 1.8695095253933687
Update 37800 | last delta: 1.8644855301026837
Update 37900 | last delta: 1.8606186705310392
Update 38000 | last delta: 1.7877514363444789
Update 38100 | last delta: 1.6969091151768225
Update 38200 | last delta: 1.6780369770935977
Update 38300 | last delta: 1.674556803478481
Update 38400 | last delta: 1.674556803476662
Update 38500 | last delta: 1.6089762927094853
Update 38600 | last delta: 1.514302715568192
Update 38700 | last delta: 1.510233279383101
Update 38800 | last delta: 1.5071011231293596
Update 38900 | last delta: 1.4480786634403557
Update 39000 | last delta: 1.3744963832941721
Update 39100 | last delta: 1.3592099514462461
Update 39200 | last delta: 1.356391010817788
Update 39300 | last delta: 1.3563910108150594
Update 39400 | last delta: 0.2811660682436923
Update 39500 | last delta: 1.2265851996098718
Update 39600 | last delta: 1.2232889563001663
Update 39700 | last delta: 1.2207519097337354
Update 39800 | last delta: 1.1729437173817132
Update 39900 | last delta: 1.1039266796515221
Update 40000 | last delta: 1.1009600606703316
Update 40100 | last delta: 1.0986767187614532
Update 40200 | last delta: 1.055649345646998
Update 40300 | last delta: 1.002007863421568
Update 40400 | last delta: 0.9908640546036622
Update 40500 | last delta: 0.9888090468848532
Update 40600 | last delta: 0.950084411078933
Update 40700 | last delta: 0.9018070770789564
Update 40800 | last delta: 0.8917776491434779
Update 40900 | last delta: 0.8899281421963678
Update 41000 | last delta: 0.8116263693718793
Update 41100 | last delta: 0.8025998842294939
Update 41200 | last delta: 0.80093532797855
Update 41300 | last delta: 0.7633490353687193
Update 41400 | last delta: 0.7304637324341456
Update 41500 | last delta: 0.7223398958049074
Update 41600 | last delta: 0.7208417951815136
Update 41700 | last delta: 0.6775142197293462
Update 41800 | last delta: 0.6574173591907311
Update 41900 | last delta: 0.6501059062247805
Update 42000 | last delta: 0.6487576156632713
Update 42100 | last delta: 0.6183127186488946
Update 42200 | last delta: 0.5916756232709304
Update 42300 | last delta: 0.5850953156023024
Update 42400 | last delta: 0.5838818540978536
Update 42500 | last delta: 0.5325080609463839
Update 42600 | last delta: 0.5325080609436554
Update 42700 | last delta: 0.5254936686887959
Update 42800 | last delta: 0.5107411316948856
Update 42900 | last delta: 0.4792572548494718
Update 43000 | last delta: 0.475204237833168
Update 43100 | last delta: 0.472944301820462
Update 43200 | last delta: 0.031983204473363
Update 43300 | last delta: 0.43133152936388797
Update 43400 | last delta: 0.42597176723143093
Update 43500 | last delta: 0.4137003166733848
Update 43600 | last delta: 0.38819837642859056
Update 43700 | last delta: 0.3849154326462667
Update 43800 | last delta: 0.3830848844754655
Update 43900 | last delta: 0.3680821671296144
Update 44000 | last delta: 0.34937853878363967
Update 44100 | last delta: 0.3464238893802758
Update 44200 | last delta: 0.33509725650765176
Update 44300 | last delta: 0.3144406849069128
Update 44400 | last delta: 0.31178150044252106
Update 44500 | last delta: 0.3102987564252544
Update 44600 | last delta: 0.1145745950689161
Update 44700 | last delta: 0.28299661641540297
Update 44800 | last delta: 0.28060335039663187
Update 44900 | last delta: 0.26833189984006367
Update 45000 | last delta: 0.25469695477477217
Update 45100 | last delta: 0.252543015356423
Update 45200 | last delta: 0.244285899994793
Update 45300 | last delta: 0.22922725929674925
Update 45400 | last delta: 0.2272887138205988
Update 45500 | last delta: 0.20630453336707433
Update 45600 | last delta: 0.20455984243744751
Update 45700 | last delta: 0.19787157899554586
Update 45800 | last delta: 0.18410385819697694
Update 45900 | last delta: 0.1833668781837332
Update 46000 | last delta: 0.1671066720273302
Update 46100 | last delta: 0.16503019036554178
Update 46200 | last delta: 0.16027597898482782
Update 46300 | last delta: 0.14912412513695017
Update 46400 | last delta: 0.14424838108698168
Update 46500 | last delta: 0.13421171262598364
Update 46600 | last delta: 0.12982354297946586
Update 46700 | last delta: 0.12079054136302148
Update 46800 | last delta: 0.12730510563051212
Update 46900 | last delta: 0.11457459506709711
Update 47000 | last delta: 0.10827630789754039
Update 47100 | last delta: 0.10515706981186668
Update 47200 | last delta: 0.09784033850337437
Update 47300 | last delta: 0.09464136283236257
Update 47400 | last delta: 0.09280542200576747
Update 47500 | last delta: 0.08805630465394643
Update 47600 | last delta: 0.08517722654778481
Update 47700 | last delta: 0.07992660319905553
Update 47800 | last delta: 0.07665950389309728
Update 47900 | last delta: 0.07517239182379853
Update 48000 | last delta: 0.07104008561145747
Update 48100 | last delta: 0.06899355350287806
Update 48200 | last delta: 0.06209419815422734
Update 48300 | last delta: 0.0575424693442983
Update 48400 | last delta: 0.05480067363805574
Update 48500 | last delta: 0.050296300503759994
Update 48600 | last delta: 0.045266670453202096
Update 48700 | last delta: 0.04074000340733619
Update 48800 | last delta: 0.03775361413772771
Update 48900 | last delta: 0.035954721975031134
